Name,Colecao,Estante,Grupo,Genero,Subgenero,AnoPublicacao,Origem,Escritor,GeneroEscritor,Editora,Etiqueta,Formato,Status,Meta,ClubeLivro,DataClube,TotalPagina,Capa,DataInicio,DataFim,,,,,,,,,,,,,,
A Contagem Dos Sonhos,,Livro,Ficção,Romance,Psicológico,2025,Nigéria,Chimamanda Ngozi Adichie,Feminino,Companhia das Letras,Tenho,EPUB,Abandonado,,Ler Juntos,05/2025,424,https://m.media-amazon.com/images/I/71B6jmuLM+L._SL1500_.jpg,23/04/2025,-,,,,,,,,,,,,,,
Psicopata Americano,,Livro,Ficção,Horror,Horror Psicológico,1991,Estados Unidos,Bret Easton Elis,Masculino,DarkSide,Desejado,-,Quero Ler,,Babliotecas,06/2025,432,https://darkside.vtexassets.com/arquivos/ids/194977/psicopata_americano_loja_1.png?v=638488187862600000,,,,,,,,,,,,,,,,
Tornar-se Palestina,,Livro,Não Ficção,Biografia,Autobiografia,2013,Chile,Lina Meruane,Feminino,Relicário,Não Tenho,EPUB,Quero Ler,,Ler Juntos,06/2025,200,https://m.media-amazon.com/images/I/81RRn-quceL._SL1500_.jpg,,,,,,,,,,,,,,,,
Horas Azuis,,Livro,Ficção,Romance,Contemporâneo,2025,Brasil,Bruna Dantas Lobato,Feminino,Companhia das Letras,Tenho,EPUB,Abandonado,,Ler Juntos,08/2025,156,https://m.media-amazon.com/images/I/71VedMfB9hL._SL1500_.jpg,11/08/2025,-,,,,,,,,,,,,,,
Território da Luz,,Livro,Ficção,Romance,,1979,Japão,Yuko Tsushima,Feminino,Alfaguara,Tenho,EPUB,Quero Ler,,Ler Juntos,10/2025,184,https://m.media-amazon.com/images/I/81FRn813+1L._SL1500_.jpg,,,,,,,,,,,,,,,,
Miséria,,Livro,Ficção,Romance,Contemporâneo,2024,Argentina,Dolores Reyes,Feminino,Moinhos,Não Tenho,EPUB,Quero Ler,,Ler Juntos,07/2025,262,https://m.media-amazon.com/images/I/91VAfievl8L._SL1500_.jpg,,,,,,,,,,,,,,,,
Uma Senhora Toma Chá,,Livro,Não Ficção,Estatística,Probabilidade,2009,Estados Unidos,David Salsburg,Masculino,Zahar,Desejado,EPUB,Abandonado,,Mulheres em Dados,02/2025,288,https://m.media-amazon.com/images/I/81UUkSio7GL._SL1500_.jpg,-,-,,,,,,,,,,,,,,
Dia Um,,Livro,Ficção,Romance,Contemporâneo,2022,Brasil,Thiago Camelo,Masculino,Companhia das Letras,Tenho,EPUB,Quero Ler,,Ler Juntos,09/2025,208,https://m.media-amazon.com/images/I/81IzpXShdvL._SL1500_.jpg,,,,,,,,,,,,,,,,
Mulheres Invisíveis: O Viés Dos Dados Em Um Mundo Projetado Para Homens,,Livro,Não Ficção,Estatística,Gênero e Dados,2022,Reino Unido,Caroline Criado-Perez,Feminino,Intrínseca,Desejado,-,Quero Ler,,Mulheres em Dados,05/2025,482,https://m.media-amazon.com/images/I/61oGE2tFFPL._SL1500_.jpg,,,,,,,,,,,,,,,,
Planeta Wolf 1061c,,Livro,Ficção,Científica,Viagem Espacial,2025,Brasil,J. L Lindemann,Masculino,INDEPENDENTE,Tenho,EPUB,Quero Ler,,Páginas Elétricas,06/2024,148,https://m.media-amazon.com/images/I/81DN9H4hUxL._SL1500_.jpg,,,,,,,,,,,,,,,,
Matéria Escura,,Livro,Ficção,Científica,Realidade Alternativa,2016,Estados Unidos,Blake Crouch,Masculino,Intrínseca,Desejado,-,Quero Ler,,Páginas Elétricas,08/2024,352,https://m.media-amazon.com/images/I/61VvC7yP8dL._SL1100_.jpg,,,,,,,,,,,,,,,,
O Som Do Fim Do Mundo,,Livro,Ficção,Científica,,2024,Brasil,Maicon Moura,Masculino,INDEPENDENTE,Tenho,EPUB,Quero Ler,,Páginas Elétricas,10/2024,156,https://m.media-amazon.com/images/I/71ddDHFjb4L._SL1500_.jpg,,,,,,,,,,,,,,,,
Mickey 7,,Livro,Ficção,Científica,Viagem Espacial,2022,Itália,Edward Ashton,Masculino,Planeta Minotauro,Desejado,-,Quero Ler,,Páginas Elétricas,11/2024,350,https://m.media-amazon.com/images/I/81IXelCKQpL._SL1500_.jpg,,,,,,,,,,,,,,,,
Devoradores De Estrelas,,Livro,Ficção,Científica,Viagem Espacial,2021,Estados Unidos,Andy Weir,Masculino,Suma,Desejado,-,Quero Ler,,Páginas Elétricas,12/2024,424,https://m.media-amazon.com/images/I/912LLkkhCaS._SL1500_.jpg,,,,,,,,,,,,,,,,
Hyperion,,Livro,Ficção,Científica,Viagem Espacial,1989,Estados Unidos,Dan Simmons,Masculino,Aleph,Desejado,-,Quero Ler,,Páginas Elétricas,02/2025,631,https://m.media-amazon.com/images/I/81uwkcB1DqL._SL1500_.jpg,,,,,,,,,,,,,,,,
Mar Da Tranquilidade,,Livro,Ficção,Científica,Viagem no Tempo,2014,Canadá,Emily St. John Mandel,Feminino,Intrínseca,Tenho,EPUB,Quero Ler,,Páginas Elétricas,03/2025,256,https://m.media-amazon.com/images/I/91gBa45ju2L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Curva Do Sonho,,Livro,Ficção,Científica,Realidade Alternativa,1971,Estados Unidos,Ursula K. Le Guin,Feminino,Morro Branco,Tenho,EPUB,Lido,2025,Páginas Elétricas,06/2025,224,https://m.media-amazon.com/images/I/71WXuOGDBfL._SL1447_.jpg,09/06/2025,29/06/2025,,,,,,,,,,,,,,
O Planeta Dos Macacos,,Livro,Ficção,Científica,Viagem no Tempo,1963,França,Pierre Boulle,Masculino,Aleph,Tenho,Físico ,Lido,,Páginas Elétricas,07/2025,246,https://m.media-amazon.com/images/I/813FdUBz82L._SL1500_.jpg,20/07/2025,31/07/2025,,,,,,,,,,,,,,
Flores Para Algernon,,Livro,Ficção,Científica,Sci-fi Psicologico,1959,Estados Unidos,Daniel Keyes,Masculino,Aleph,Tenho,Físico,Lido,,Páginas Elétricas,08/2025,288,https://m.media-amazon.com/images/I/71VrMtcmE9L._SL1500_.jpg,06/05/2025,26/05/2025,,,,,,,,,,,,,,
Realidades Adpatadas,,Livro,Ficção,Científica,Realidade Alternativa,1966,Estados Unidos,Philip K. Dick,Masculino,Aleph,Tenho,Físico ,Lido,,Páginas Elétricas,09/2025,320,https://m.media-amazon.com/images/I/91d4jT7B+lL._SL1500_.jpg,05/09/2025,03/10/2025,,,,,,,,,,,,,,
O Homem Do Castelo Alto,,Livro,Ficção,Científica,Realidade Alternativa,1962,Estados Unidos,Philip K. Dick,Masculino,Aleph,Tenho,Físico,Quero Ler,,Páginas Elétricas ,11/2025,312,https://m.media-amazon.com/images/I/71XIOHhYu4L._SL1000_.jpg,-,-,,,,,,,,,,,,,,
Frankenstein,Medo Clássico,Livro,Ficção,Horror,Horror Gótico,1818,Reino Unido,Mary Shelley,Feminino,DarkSide,Tenho,Físico,Lido,,Páginas Elétricas ,10/2025,304,https://darkside.vtexassets.com/arquivos/ids/168084/94-frankenstein-ou-o-prometeu-moderno.jpg?v=636802548559600000,15/02/2023,02/07/2023,,,,,,,,,,,,,,
Snow Crash,,Livro,Ficção,Científica,Cyberpunk,1992,Estados Unidos,Neal Stephenson,Masculino,Aleph,Desejado,-,Quero Ler,,Páginas Elétricas,04/2025,496,https://m.media-amazon.com/images/I/91HXtJOF9-L._SL1500_.jpg,,,,,,,,,,,,,,,,
A Crise Do Capitalismo Democrático,,Livro,Não Ficção,Economia,Crises Financeiras,2023,Reino Unido,Martin Wolf,Masculino,Gradiva,Desejado,-,Quero Ler,,Pepa Silveira,,528,https://m.media-amazon.com/images/I/71b8Mw1-k7L._SL1500_.jpg,,,,,,,,,,,,,,,,
O Preço Da Desigualdade,,Livro,Não Ficção,Economia,Economia Comportamental,2012,Estados Unidos,Joseph E. Stiglitz,Masculino,Bertrand,Tenho,Físico,Quero Ler,2025,Pepa Silveira,,496,https://m.media-amazon.com/images/I/41DWLcnfI2L.jpg,,,,,,,,,,,,,,,,
O Que O Dinheiro Não Compra,,Livro,Não Ficção,Economia,Economia Comportamental,2012,Estados Unidos,Michael J. Sandel,Masculino,Civilização Brasileira,Desejado,-,Quero Ler,,Pepa Silveira,,238,https://m.media-amazon.com/images/I/81IV5y2uSdL._SL1500_.jpg,,,,,,,,,,,,,,,,
